Transaction_ID,Order_Date,Delivery_Date,Company_Name,Industry,Country,Region,Customer_Segment,Sales_Rep,Channel,Product_Name,Unit_Price,Quantity,Discount_Pct,Revenue,COGS,Gross_Profit,Tax_Rate,Tax_Amount,Net_Profit,Revenue_Target,Payment_Method,Transaction_Status,Priority,Units_Returned,Customer_Satisfaction,Rating,Repeat_Customer,Contract_Length_Months,Notes
TXN-103105,2021-06-27,02-Jul-2021,NovaBiz,Consulting,Philippines,Asia Pacific,Government,Maria Santos,Referral,Maintenance Plan,9814.6,280,0.17,2280913.04,1048625.02,1232288.02,0.17,387755.22,844532.8,487418.79,PayPal,Processing,Medium,42,Very Satisfied,3.6,Yes,15,Urgent delivery
TXN-103786,2022-11-29,2022-12-06,PrimeSolutions,E-Commerce,United Kingdom,Europe,Government,James Teller,Social Media,Integration Module,2430.71,51,0.28,89255.67,53252.74,36002.93,0.24,21421.36,14581.57,479908.98,PayPal,Processing,Critical,0,Very Dissatisfied,1.7,No,25,Escalated
TXN-104329,2020-06-30,2020-07-09,Acme Corp,Healthcare,Australia,Asia Pacific,Mid-Market,Kenji Tanaka,Trade Show,Software License,2487.06,452,0.22,876837.87,464141.45,412696.42,0.07,61378.65,351317.77,282297.14,Invoice Net 30,Refunded,Critical,64,Satisfied,,Yes,30,Negotiated price
TXN-101255,2022-06-21,2022-06-30,BetaGroup,Healthcare,Philippines,Africa,Startup,Sofia Andrade,Direct Sales,Integration Module,8433.87,302,0.14,2190444.72,837936.03,1352508.69,0.23,503802.29,848706.4,239744.9,PayPal,Processing,Critical,40,Very Dissatisfied,4.3,No,4,First purchase
TXN-102251,2020-02-16,2020-04-06,AlphaVentures,Consulting,Singapore,Latin America,SMB,Maria Santos,Referral,Analytics Suite,5582.33,382,0.27,1556688.54,809026.62,747661.92,0.22,342471.48,405190.44,495948.69,Cash,Processing,Critical,50,Neutral,1.8,Yes,2,Bulk order
TXN-103706,2026-11-27,2021-11-16,BetaGroup,FMCG,United Kingdom,North America,Mid-Market,James Teller,Cold Outreach,Training Package,130.39,37,0.14,4149.01,2279.06,1869.95,0.1,414.9,1455.05,110613.46,,Refunded,Critical,4,Satisfied,4.8,Yes,15,None
TXN-104938,2023-08-01,2023-08-17,Nexus Co,Consulting,Australia,Middle East,Government,,Referral,Support Contract,6090.91,158,0.21,760267.39,383134.68,377132.71,0.28,212874.87,164257.84,256463.84,Credit Card,Refunded,Critical,12,Satisfied,4.9,No,8,First purchase
TXN-103528,2020-05-24,2020-06-12,Vertex Partners,Retail,Germany,Middle East,Government,Sofia Andrade,Social Media,Consulting Service,11295.83,323,0.04,3502610.97,2297317.68,1205293.29,0.23,805600.52,399692.77,420526.68,Credit Card,Refunded,,30,Very Dissatisfied,1.3,Yes,2,Renewal
TXN-104287,2023-02-04,2023-03-19,Orion Inc,Consulting,United States,Latin America,Government,Carlos Rivera,Direct Sales,Cloud Subscription,3583.59,262,0.38,582118.36,355025.69,227092.67,0.17,98960.12,128132.55,439926.41,Invoice Net 60,Pending,Medium,6,,4.5,Yes,10,Urgent delivery
TXN-100079,2023-07-04,2023-07-24,Acme Corp,Retail,United States,Africa,Government,Carlos Rivera,Trade Show,Maintenance Plan,9235.7,48,0.2,354650.88,145060.21,209590.67,0.29,102848.76,106741.91,81326.16,Invoice Net 60,Processing,Critical,5,Very Dissatisfied,4.3,Yes,3,Escalated
